model,param,estimate,std_err,t_stat,loglik,aic,n_obs
B1.1,omega,1.6613769493361734e-06,6.518443292135541e-07,2.5487326879726235,8193.027442321114,-16378.054884642228,2754
B1.1,alpha,0.0832635019267532,0.014126633609537873,5.894079525821086,8193.027442321114,-16378.054884642228,2754
B1.1,beta,0.9119335379092739,0.01407954276800417,64.77011028949373,8193.027442321114,-16378.054884642228,2754
B1.1,nu,6.769004716822657,0.8772777087402802,7.71592011216443,8193.027442321114,-16378.054884642228,2754
B1.2,omega,2.498448395714727e-06,8.306953121734257e-07,3.007659197182422,8253.446767967473,-16496.893535934945,2754
B1.2,alpha,0.0,0.012444483293666124,0.0,8253.446767967473,-16496.893535934945,2754
B1.2,gamma_lev,0.1905384282340414,0.03372599106571679,5.649602049136753,8253.446767967473,-16496.893535934945,2754
B1.2,beta,0.8964988462200301,0.019660718033023918,45.59847940010073,8253.446767967473,-16496.893535934945,2754
B1.2,nu,7.512328458600147,1.0806390791697391,6.9517460578715236,8253.446767967473,-16496.893535934945,2754
B1.3,omega,-0.1751624693364129,0.003312729444168567,-52.87557353793358,8270.71435409313,-16531.42870818626,2754
B1.3,alpha,0.11765379377835215,0.01715865331899638,6.856819797629305,8270.71435409313,-16531.42870818626,2754
B1.3,gamma_lev,-0.1625820847339717,0.020511734938042835,-7.926296104403774,8270.71435409313,-16531.42870818626,2754
B1.3,beta,0.9800741757182427,0.005370724494118063,182.48453756874056,8270.71435409313,-16531.42870818626,2754
B1.3,nu,7.866613116268995,1.1907291313822888,6.60655132132094,8270.71435409313,-16531.42870818626,2754
B2.1,omega,1.6598968341232218e-06,5.992774286409098e-07,2.7698303903880896,8193.162368257761,-16372.324736515522,2754
B2.1,alpha,0.08349217355236915,,,8193.162368257761,-16372.324736515522,2754
B2.1,beta,0.9113383819183675,,,8193.162368257761,-16372.324736515522,2754
B2.1,a,1.0005281525942786,0.0060608954258963505,165.07926342357405,8193.162368257761,-16372.324736515522,2754
B2.1,b,0.006737946999085467,0.0,,8193.162368257761,-16372.324736515522,2754
B2.1,kappa,0.006737946999085467,0.0,,8193.162368257761,-16372.324736515522,2754
B2.1,nu,6.746605639696183,0.8533902618675628,7.905651073322401,8193.162368257761,-16372.324736515522,2754
B2.2,omega,1.4102613083832232e-06,5.571894159142572e-07,2.5310267354400726,8194.981289587782,-16373.962579175564,2754
B2.2,alpha,0.07813217602028477,,,8194.981289587782,-16373.962579175564,2754
B2.2,beta,0.9176648215223404,,,8194.981289587782,-16373.962579175564,2754
B2.2,a,0.9829173068447528,0.006101892714666313,161.08400340803178,8194.981289587782,-16373.962579175564,2754
B2.2,b,0.09230108588948009,0.0,,8194.981289587782,-16373.962579175564,2754
B2.2,kappa,0.08597454107325113,0.24691350916832538,0.3481969915815369,8194.981289587782,-16373.962579175564,2754
B2.2,gamma,3.011962578439345,0.0,,8194.981289587782,-16373.962579175564,2754
B2.2,nu,6.711579115527233,0.8441926065643921,7.950293645476622,8194.981289587782,-16373.962579175564,2754
