model,vs_baseline,scheme,horizon,mean_diff_QL,DM_stat,p_value,interp
B1.2,B1.1,RW,1,-0.10218332013380228,-2.1310184992228716,0.03308761818507722,model better
B1.2,B1.1,RW,5,-0.05707244829116965,-2.029398120108094,0.042417756440763954,model better
B1.2,B1.1,IW,1,-0.09717455689016051,-2.0952968902732483,0.036144608743895024,model better
B1.2,B1.1,IW,5,-0.058129660828575416,-2.234914371827023,0.025422970849921178,model better
B1.3,B1.1,RW,1,-0.11180521891930532,-1.7215741189002636,0.08514669487976967,no diff.
B1.3,B1.1,RW,5,-0.0653864011532152,-1.9530240852503662,0.050816741309200886,no diff.
B1.3,B1.1,IW,1,-0.11254023629020318,-1.81420578248041,0.06964605025963166,no diff.
B1.3,B1.1,IW,5,-0.06816467053453325,-2.203697293268345,0.027545639648748343,model better
B2.1,B1.1,RW,1,2.0402874509520848e-05,0.05827872590604757,0.9535266129760505,no diff.
B2.1,B1.1,RW,5,-0.0003717723746884376,-1.6113534742859597,0.10710270175022663,no diff.
B2.1,B1.1,IW,1,-0.00036081474741615836,-1.37167963858204,0.17016318972236588,no diff.
B2.1,B1.1,IW,5,1.7415380488531678e-05,0.09867661587139742,0.9213950360646925,no diff.
B2.2,B1.1,RW,1,0.014594225107180074,1.2332564433342186,0.21748010287792918,no diff.
B2.2,B1.1,RW,5,0.0117333079277536,1.5241853201967992,0.1274624240339397,no diff.
B2.2,B1.1,IW,1,0.02247209485554861,1.6233306443013151,0.10451874208645595,no diff.
B2.2,B1.1,IW,5,0.015042141304610908,1.3987342585744116,0.16189268690626823,no diff.
B5.3,B1.1,RW,1,0.0012244152147680154,0.8885366092955426,0.37425217238755826,no diff.
B5.3,B1.1,RW,5,0.0013462597649851506,1.9163693197684015,0.0553181031113934,no diff.
B5.4,B1.1,RW,1,0.01684559632358345,1.2308518029795537,0.21837829655550012,no diff.
B5.4,B1.1,RW,5,0.004475783087559874,0.6177433857908684,0.5367445078769031,no diff.
B5.5,B1.1,RW,1,-7.44819477443646e-05,-0.21529223377496465,0.829539484216558,no diff.
B5.5,B1.1,RW,5,-0.00018647688555012862,-1.000095310997622,0.3172643851187229,no diff.
B1.1,B1.2,RW,1,0.10218332013380228,2.1310184992228716,0.03308761818507722,baseline better
B1.1,B1.2,RW,5,0.05707244829116965,2.029398120108094,0.042417756440763954,baseline better
B1.1,B1.2,IW,1,0.09717455689016051,2.0952968902732483,0.036144608743895024,baseline better
B1.1,B1.2,IW,5,0.058129660828575416,2.234914371827023,0.025422970849921178,baseline better
B1.3,B1.2,RW,1,-0.009621898785503041,-0.2558844970836541,0.7980400257347258,no diff.
B1.3,B1.2,RW,5,-0.008313952862045556,-0.6892645588812202,0.49065679661278994,no diff.
B1.3,B1.2,IW,1,-0.015365679400042674,-0.4417188290958029,0.6586926826181183,no diff.
B1.3,B1.2,IW,5,-0.010035009705957831,-0.903547561514703,0.3662353577153781,no diff.
B2.1,B1.2,RW,1,0.1022037230083118,2.13485584877236,0.03277278670342909,baseline better
B2.1,B1.2,RW,5,0.0567006759164812,2.0219062767389087,0.04318603520936759,baseline better
B2.1,B1.2,IW,1,0.09681374214274437,2.0936069263987256,0.03629501004822333,baseline better
B2.1,B1.2,IW,5,0.05814707620906395,2.245295885955612,0.02474914397713368,baseline better
B2.2,B1.2,RW,1,0.11677754524098236,2.237596301062776,0.025247392995386253,baseline better
B2.2,B1.2,RW,5,0.06880575621892325,2.212050136924155,0.02696320088230819,baseline better
B2.2,B1.2,IW,1,0.11964665174570913,2.3178828961515063,0.020455686244620352,baseline better
B2.2,B1.2,IW,5,0.07317180213318633,2.4713953233178403,0.013458694645328118,baseline better
B5.3,B1.2,RW,1,0.10340773534857028,2.153602006455455,0.031271396793140616,baseline better
B5.3,B1.2,RW,5,0.05841870805615479,2.072363229857561,0.0382315797794226,baseline better
B5.4,B1.2,RW,1,0.11902891645738573,2.3163627900774224,0.020538468632330664,baseline better
B5.4,B1.2,RW,5,0.06154823137872953,2.069628466816159,0.038487150162116235,baseline better
B5.5,B1.2,RW,1,0.1021088381860579,2.1345021584599992,0.03280169715419845,baseline better
B5.5,B1.2,RW,5,0.05688597140561952,2.026511190703127,0.04271242712633572,baseline better
